Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-02,173.69,173.69,170.72,172.7,5309
2017-01-03,172.21,174.14,172.21,173.69,622
2017-01-04,174.19,174.69,173.15,173.64,3886
2017-01-05,173,173.2,170.96,172.7,724
2017-01-09,172.7,172.7,168.73,168.73,1395
2017-01-10,168.73,169.43,168.24,168.53,1238
2017-01-11,168.53,169.67,168.53,168.73,1641
2017-01-12,169.62,169.72,167.74,169.72,3109
2017-01-13,170.72,171.36,168.78,170.02,384
2017-01-16,170.02,170.72,170.02,170.72,4783
2017-01-17,171.86,171.86,170.02,170.62,486
2017-01-18,174.19,174.19,170.22,170.72,43803
2017-01-19,170.72,173.25,170.72,171.21,136
2017-01-20,171.71,171.71,171.21,171.71,10044
2017-01-23,172.4,175.68,171.71,175.58,2531
2017-01-24,175.88,183.52,175.88,176.18,2001
2017-01-25,177.17,180.64,176.18,180.15,12245
2017-01-26,180.39,180.39,173.1,178.41,3991
2017-01-27,178.41,179.65,176.67,177.96,14846
2017-01-30,178.16,180.69,177.66,177.66,2794
2017-01-31,178.66,179.15,178.66,178.76,1618
2017-02-01,178.71,187.59,177.76,182.38,2737
2017-02-02,181.63,184.61,181.63,183.12,2282
2017-02-03,183.12,183.12,177.81,178.66,2093
2017-02-06,180.05,180.05,172.7,172.7,3368
2017-02-07,173,175.68,172.6,174.98,5878
2017-02-08,177.66,183.47,177.37,183.47,4328
2017-02-09,185.11,194.54,185.11,193.54,20047
2017-02-10,192.55,198.51,192.55,198.51,19304
2017-02-13,198.51,204.16,198.26,204.16,10188
2017-02-14,204.46,208.04,202.97,206.94,8013
2017-02-15,206.94,209.92,204.51,209.92,11288
2017-02-16,211.41,213.84,209.52,211.41,3744
2017-02-17,211.31,211.31,205.55,208.43,23056
2017-02-20,208.43,209.92,208.43,208.58,15703
2017-02-21,209.28,209.92,208.88,209.92,806
2017-02-22,209.92,209.92,208.63,208.98,793
2017-02-23,209.38,209.38,209.03,209.08,714
2017-02-24,209.43,209.43,203.97,204.46,82565
2017-02-27,204.46,204.46,201.88,203.92,407
2017-02-28,201.49,203.37,194.19,203.27,1283
2017-03-01,203.22,205.46,202.48,205.46,319
2017-03-02,209.43,223.32,209.43,223.17,14308
2017-03-03,225.31,227.29,220.34,227.29,2920
2017-03-06,227.29,227.29,226.2,226.3,853
2017-03-07,225.31,226.3,217.37,225.8,1198
2017-03-08,222.33,223.82,220.34,223.27,6069
2017-03-09,227.29,227.29,211.41,218.36,1948
2017-03-10,215.08,223.27,212.25,221.93,784
2017-03-13,223.32,227.29,222.33,222.33,544
2017-03-14,228.28,230.27,225.31,228.38,2008
2017-03-15,231.26,238.21,231.26,235.73,2752
2017-03-16,236.22,238.21,231.46,234.64,1848
2017-03-17,231.76,234.93,228.28,231.81,2266
2017-03-20,231.81,234.14,228.28,233.15,991
2017-03-21,232.25,236.03,221.34,232.25,1625
2017-03-22,225.31,232.2,219.85,231.21,1788
2017-03-23,231.21,232.2,224.31,225.31,9730
2017-03-24,220.34,224.31,213.4,224.16,1920
2017-03-27,221.44,228.28,221.44,228.28,674
2017-03-28,224.41,228.18,224.31,227.24,131
2017-03-29,227.29,230.96,224.46,227.29,872
2017-03-30,227.24,227.24,219.45,221.34,5766
2017-03-31,220.05,230.96,218.36,230.76,2564
2017-04-03,230.27,231.21,224.31,230.27,200
2017-04-04,230.27,230.76,219.4,226.3,2078
2017-04-05,229.03,229.03,218.36,223.32,1919
2017-04-06,223.32,223.32,220.84,223.32,706
2017-04-07,222.33,223.32,218.9,223.32,736
2017-04-10,225.11,228.18,220.54,228.18,2016
2017-04-11,227.29,227.29,222.28,222.28,659
2017-04-12,223.07,223.07,218.85,220.29,5760
2017-04-13,219.85,222.73,218.41,222.73,992
2017-04-18,222.73,227.14,220.34,227.14,2104
2017-04-19,220.84,225.11,220.84,225.11,1152
2017-04-20,224.31,224.31,221.83,224.16,376
2017-04-21,221.39,227.29,221.39,227.29,1897
2017-04-24,227.54,231.76,224.31,229.77,6113
2017-04-25,229.77,233.25,226.79,232.75,3956
2017-04-26,232.75,233.15,228.43,232.75,1351
2017-04-27,231.36,231.36,227.89,230.27,6468
2017-04-28,229.77,233.15,227.64,233.15,2240
2017-05-02,233.25,234.24,230.32,232.25,546
2017-05-04,233.94,243.07,232.3,237.22,2090
2017-05-05,237.22,237.41,233.25,237.17,176
2017-05-08,237.22,237.22,231.36,232.75,943
2017-05-09,232.75,236.12,230.27,236.03,1529
2017-05-10,236.03,236.03,231.36,235.93,60
2017-05-11,234.88,234.88,230.37,232.25,2106
2017-05-12,232.25,232.25,226.3,230.27,1057
2017-05-15,229.28,229.28,220.84,226.3,1589
2017-05-16,226.25,226.25,222.33,225.01,1917
2017-05-17,220.34,220.34,215.48,220.34,1285
2017-05-18,216.37,223.32,211.41,222.23,1791
2017-05-19,221.83,222.82,216.37,222.82,669
2017-05-22,217.37,218.36,214.59,218.36,5315
2017-05-23,203.47,210.17,199.5,208.43,40686
2017-05-24,208.43,212.35,207.44,208.98,9224
2017-05-25,208.98,213.35,208.98,213.3,507
2017-05-26,211.56,218.31,211.16,218.31,6866
2017-05-29,217.81,227.29,217.81,227.29,781
2017-05-30,224.36,224.36,222.38,222.73,823
2017-05-31,226.5,226.5,214.54,218.36,2629
2017-06-01,222.13,222.13,221.34,221.34,109
2017-06-02,222.33,223.32,221.34,222.28,152
2017-06-05,222.28,222.28,216.37,220.34,1484
2017-06-06,220.29,220.29,218.36,218.36,280
2017-06-07,218.36,218.36,213.4,213.4,1757
2017-06-08,210.81,213.2,208.48,208.53,32878
2017-06-09,208.43,212.35,208.43,212.25,5411
2017-06-12,212.4,212.9,212.4,212.4,78
2017-06-13,210.42,213.35,210.42,213.35,8
2017-06-14,212.4,212.5,210.42,212.35,132
2017-06-16,209.13,212.3,209.13,211.91,395
2017-06-19,209.52,211.86,209.52,211.86,514
2017-06-20,210.52,210.52,208.98,209.92,1843
2017-06-21,209.23,211.41,207.59,211.41,1537
2017-06-22,210.96,210.96,208.68,210.91,186
2017-06-23,210.91,210.91,209.03,210.91,897
2017-06-26,210.86,212.9,210.86,212.4,12175
2017-06-27,212.4,213.89,211.41,212.4,361
2017-06-28,212.8,212.8,210.91,212.3,34
2017-06-29,210.91,211.91,207.94,211.91,1546
2017-06-30,212.25,212.25,208.63,211.71,3929
2017-07-03,211.41,211.81,210.57,211.81,33
2017-07-04,211.31,211.31,208.93,209.13,126
2017-07-05,211.06,211.91,209.13,211.91,193
2017-07-06,211.91,211.91,208.98,209.03,97
2017-07-07,209.03,209.43,204.46,206.94,345
2017-07-10,210.52,210.52,205.5,208.43,5278
2017-07-11,209.77,211.91,206.5,206.6,35937
2017-07-12,209.38,209.38,207.74,207.74,20928
2017-07-13,207.94,207.94,206.45,206.45,350
2017-07-14,206.15,206.15,203.47,204.46,517
2017-07-17,206.6,206.6,198.66,205.46,6788
2017-07-18,202.63,205.41,202.63,205.26,416
2017-07-19,205.46,207.44,203.72,207.44,14744
2017-07-20,206.45,207.39,204.96,207.39,4816
2017-07-21,207.39,207.39,205.46,206.35,767
2017-07-24,206.89,207.44,202.48,202.48,6570
2017-07-25,203.22,206.45,203.22,206.45,179
2017-07-26,206.5,206.55,201.58,203.02,1142
2017-07-27,205.46,207.44,199.2,199.5,11689
2017-07-28,199.9,206.2,199.65,205,424
2017-07-31,206.2,207,201.5,203.5,1038
2017-08-01,204.5,204.5,200.1,203.65,464
2017-08-02,203.75,203.75,200.5,200.95,325
2017-08-03,200.5,200.6,192.2,200,3167
2017-08-04,202.9,202.9,195.55,200,1369
2017-08-07,194,196,191.4,193,1026
2017-08-08,194,195.1,192.5,195,200
2017-08-09,195.95,196.9,194.1,196.9,200
2017-08-10,197,200,197,200,232
2017-08-11,198.85,198.85,194.45,198.8,68
2017-08-14,196.8,200,196.8,200,165
2017-08-16,200,200,196,200,70
2017-08-17,200,213,199.5,213,2545
2017-08-18,208,210,201.55,209,198
2017-08-21,208.5,208.5,204.8,204.9,100
2017-08-22,204.2,205,204,205,198
2017-08-23,205.95,205.95,202.1,205.9,72
2017-08-24,205.9,206,202.1,205.95,131
2017-08-25,202,204.95,200,203.95,485
2017-08-28,202.75,202.75,198,201.2,561
2017-08-29,199.85,199.9,196.9,197,627
2017-08-30,196.35,196.35,183,191.4,2278
2017-08-31,190,195,184.1,195,21315
2017-09-01,182,182,176,180,33937
2017-09-04,180,180,177,178.45,4143
2017-09-05,180,180,178.5,179.3,7476
2017-09-06,180.35,181.35,178.6,179.8,1508
2017-09-07,180.1,180.1,178,179,3350
2017-09-08,179,179,177.5,178,152
2017-09-11,177,178.95,177,177,683
2017-09-12,177.6,180,177,177.9,7484
2017-09-13,179.5,179.5,167.6,171.45,1880
2017-09-14,173.9,173.9,166.05,169.95,19027
2017-09-15,168,169,168,168.8,1530
2017-09-18,170,170,167.5,168.8,762
2017-09-19,165.2,167.9,165.2,167.85,813
2017-09-20,166.6,167.5,166.1,167,6698
2017-09-21,167,169.85,167,168,194
2017-09-22,168,170,168,170,361
2017-09-25,170,173.1,170,173.1,763
2017-09-26,172.5,176.8,172.5,176.8,510
2017-09-27,177.9,177.9,175,175.8,1441
2017-09-28,175.5,178,175.5,178,460
2017-09-29,178.1,178.5,175.5,178.5,7480
2017-10-02,178.6,178.8,170,174,1215
2017-10-03,174,174,171,173.9,745
2017-10-04,173.95,174.05,170.1,173.4,638
2017-10-05,170,171.3,170,170,9825
2017-10-06,169.3,171.85,168.1,170.5,556
2017-10-09,170,172,170,171.9,457
2017-10-10,172,172.5,169,169.95,7611
2017-10-11,172,172.2,171,172.2,6975
2017-10-12,172.2,174.65,172.2,174.65,51506
2017-10-13,174.8,176,174.65,175,437
2017-10-16,174.8,176,173,173,809
2017-10-17,174.85,174.95,171.1,173,40199
2017-10-18,173,173.05,171.55,172,306
2017-10-19,171.9,173,170.2,173,2114
2017-10-20,174.5,179,172.2,177,626
2017-10-23,176.5,178.5,176,177,15709
2017-10-24,177,177,173.8,175.4,225
2017-10-25,176.95,176.95,167.95,170,11758
2017-10-26,170.05,171.1,170.05,170.1,68417
2017-10-27,170.5,170.5,168,168,802
2017-10-30,171,171,170,170,1251
2017-10-31,170,170,160.6,160.6,10749
2017-11-02,162,163.5,157,163.5,2216
2017-11-03,163.5,166.95,162.05,166,3741
2017-11-06,165,165,163.5,163.5,16108
2017-11-07,163.5,166.85,163.5,166.75,759
2017-11-08,165,167,163.5,163.5,3632
2017-11-09,164.05,166,164.05,164.1,247
2017-11-10,163.8,168.95,163.8,163.9,950
2017-11-13,164,164,163.45,163.95,395
2017-11-14,166.45,179.95,162.25,162.25,5462
2017-11-15,167.95,167.95,158.1,163,2219
2017-11-16,163.9,163.9,158.5,162,306
2017-11-17,162,166.9,160.95,166.9,1042
2017-11-20,165.7,167.2,165.7,166.8,259
2017-11-21,166.8,166.8,165,166.75,326
2017-11-22,166.45,166.5,162.4,166.5,630
2017-11-23,166.5,169.5,165.5,169.4,269
2017-11-24,169.9,179.9,167.5,178.3,4016
2017-11-27,178,178,173.35,177,907
2017-11-28,178.3,178.3,177,177.5,448
2017-11-29,178,181,176,179,2109
2017-11-30,178.6,180.9,175.9,179.9,4712
2017-12-01,180.85,180.85,177.5,178,232
2017-12-04,180.9,180.9,178,180,1938
2017-12-05,180.5,181.9,179,181.9,1148
2017-12-06,182.2,183.55,181,181,308
2017-12-07,183,183,180.1,181.5,94
2017-12-08,181.45,181.45,181,181,107
2017-12-11,181.5,183,179.95,180.1,1641
2017-12-12,181.4,187,180,185.55,8246
2017-12-13,187.3,187.5,186.2,187.5,307
2017-12-14,187.9,189,182.05,185.45,470
2017-12-15,188.6,188.75,183,183,621
2017-12-18,183,187.15,183,184.9,484
2017-12-19,184.9,188,184,184,182
2017-12-20,184,184.3,182,184.3,327
2017-12-21,184.9,184.9,180,180.5,435
2017-12-22,183.6,186.2,181.5,186.2,4796
2017-12-27,186,188.8,186,188,3243
2017-12-28,188,188.8,186.5,188.8,1293
2017-12-29,188.8,190,187,190,5704
